MAC6     MAC-FROM MAC-TO   S/N    BASE   DVDR
00:1C:A2 DA:00:00 DD:FF:FF 74701Y DA5DC1 2
00:1C:A2 DD:00:00 DD:9F:FF 74702Y DD3B63 2
00:1C:A2 DD:A0:00 DE:FF:FF 74702Y DD6C67 2
00:17:C2 F4:00:00 F4:FF:FF     YW F458E0 4
00:17:C2 F6:00:00 F6:FF:FF     YW F600C4 4
00:19:3E E5:00:00 E5:FF:FF     YW E4B1AD 4
00:19:3E E8:00:00 E8:FF:FF     YW E673D9 4
00:1C:A2 AA:70:00 AA:9F:FF     YW A82A55 4
00:1C:A2 AA:A0:00 AA:FF:FF     YW A82B2D 4
00:1C:A2 AB:00:00 AB:9F:FF     YW A82DD5 4
00:1C:A2 AB:A0:00 AB:FF:FF     YW A88775 4 
00:1C:A2 AC:00:00 AC:FF:FF     YW A88775 4
00:1C:A2 B2:00:00 B2:9F:FF     YW ACEC5D 4
00:1C:A2 B2:A0:00 B2:CF:FF     YW ACEDC5 4
00:1C:A2 B2:D0:00 B2:DF:FF     YW ACEE01 4
00:1C:A2 B3:00:00 B3:FF:FF     YW ACEE01 4
00:1C:A2 B4:00:00 B4:6F:FF     YW ACEE01 4
00:1C:A2 B4:70:00 B4:FF:FF     YW ACEF2D 4
00:1C:A2 B5:A0:00 B5:FF:FF     YW AD86BD 4
00:1C:A2 D9:00:00 D9:FF:FF     YW D0C62D 4
00:1C:A2 DA:00:00 DA:FF:FF     YW D0EC31 4
00:1C:A2 DE:00:00 DE:FF:FF     YW D3D73F 4
00:23:8E CD:00:00 CD:FF:FF     YW BF5D8D 4
00:23:8E CE:00:00 CE:FF:FF     YW BF5F0D 4
00:25:53 8A:00:00 8A:FF:FF     YW 7A105E 4
00:25:53 8D:00:00 8D:FF:FF     YW 7BBDEE 4
00:25:53 8E:00:00 8E:FF:FF     YW 7BC922 4
00:25:53 8F:00:00 8F:FF:FF     YW 7D82C6 4
00:25:53 90:00:00 90:FF:FF     YW 7D82C6 4
38:22:9D 1B:00:00 1B:FF:FF 25801Y 1AF8A2 9
38:22:9D 1C:00:00 1C:0F:FF 25801Y 1AF8A2 9
38:22:9D 1C:10:00 1C:9F:FF 25901Y 1C4C86 9
38:22:9D 1C:A0:00 1C:FF:FF 25801Y 1B18E8 9
38:22:9D 98:00:00 98:FF:FF 25801Y 96CE3C 9
38:22:9D 99:00:00 99:0F:FF 25801Y 96CE3C 9
38:22:9D 99:10:00 99:9F:FF 25801Y 982A48 9
38:22:9D 99:A0:00 99:FF:FF 25901Y 995E52 9
38:22:9D A3:00:00 A3:FF:FF 25801Y A07F5C 9
38:22:9D A4:00:00 A4:FF:FF 25801Y A07F5C 9
38:22:9D A5:00:00 A5:FF:FF 25801Y A1553E 9
38:22:9D A6:00:00 A6:FF:FF 25801Y A1553E 9
38:22:9D A7:00:00 A7:0F:FF 25801Y A1553E 9
38:22:9D A7:10:00 A7:FF:FF 25801Y A1A4EE 9
38:22:9D A8:00:00 A8:FF:FF 25801Y A1A4EE 9
38:22:9D A9:00:00 A9:9F:FF 25801Y A1A4EE 9
38:22:9D A9:A0:00 A9:FF:FF 25801Y A1A5EC 9
38:22:9D AA:00:00 AA:8E:38 25801Y A1A5EC 9
38:22:9D AA:8E:39 AA:FF:FF 25801Y A1A70C 9
38:22:9D AB:00:00 AB:FF:FF 25801Y A1A70C 9
38:22:9D AD:00:00 AD:FF:FF 25801Y A2CA30 9
38:22:9D AE:00:00 AE:FF:FF 25801Y A2CA30 9
38:22:9D AF:00:00 AF:FF:FF 25801Y A2CA30 9
38:22:9D BF:00:00 BF:FF:FF 25802Y BF8EDC 9
38:22:9D C0:00:00 C0:FF:FF 25802Y BF8EDC 9
38:22:9D C1:00:00 C1:FF:FF 25802Y BF978B 9
38:22:9D C2:00:00 C2:FF:FF 25802Y BF978B 9
38:22:9D C3:00:00 C3:9F:FF 25802Y BF978B 9
38:22:9D C3:A0:00 C3:FF:FF 25902Y C391F3 9
38:22:9D C4:00:00 C4:7F:FF 25802Y BF978F 9
38:22:9D C4:80:00 C4:FF:FF 25802Y C12B5D 9
38:22:9D C5:00:00 C5:FF:FF 25802Y C12B5D 9
38:22:9D C6:00:00 C6:FF:FF 25802Y C12B5D 9
64:87:D7 B4:00:00 B4:FF:FF 21602X B4C17A 9
64:87:D7 B5:00:00 B5:FF:FF 21602X B4CE15 9
64:87:D7 B6:00:00 B6:FF:FF 21602X B5AFB1 9
DC:0B:1A 04:00:00 04:FF:FF 25802Y -2422F 9
DC:0B:1A 05:00:00 05:FF:FF 25802Y -2422F 9
DC:0B:1A 10:00:00 16:9F:FF 25802Y  DFD2C 9
DC:0B:1A 16:A0:00 16:FF:FF 25802Y  E016D 9
DC:0B:1A 17:00:00 17:FF:FF 25902Y 16A806 9
DC:0B:1A 20:00:00 20:FF:FF 25802Y 16F5F7 9
DC:0B:1A 21:00:00 21:FF:FF 25802Y 16F9C3 9
DC:0B:1A 22:00:00 22:FF:FF 25802Y 177D6C 9
DC:0B:1A 23:00:00 23:FF:FF 25802Y 177D6C 9
